2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Ticket Resolution Categorization (Incident/Change),Department of Agriculture,USDA,OCIO: Office of the Chief Information Officer,Mission-Enabling,,None of the above.,"The purpose of this model is to classify the resolution type and tier of all support desk tickets after they have been closed. This model allows the support team to spend more time identifying process inefficiencies and plan solutions rather than categorizing tickets. This will lead to process improvement, automation of repetitive tasks, increased productivity, and higher performance.",The model outputs the classification category of support ticket resolutions.,Operation and Maintenance,Neither,6/1/2023,6/1/2023,6/1/2023,,Developed with both contracting and in-house resources.,ITSS Contracts,No,,,No,,No,No,Yes,,"The dataset is composed of Remedy data, containing inventory data of all of assets at DISC: hardware, software, incident tickets, and change tickets. Data contains numerical, categorical, text, and date data types.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Other,"SD105, disc employee or customer",Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Ticket Templatization,Department of Agriculture,USDA,OCIO: Office of the Chief Information Officer,Mission-Enabling,,None of the above.,"This model is a non-production exploratory model, meaning it does not make predictions but is used to explore trends within data to gain insights that can help in making data-driven decisions. It is designed to explore and analyze service and change requests submitted through the 105 general form or without templates. This model helps to identify subcategories within the larger dataset that could be candidates for standardization and automation, potentially leading to improved operational efficiency, cost savings, and customer satisfaction.",The model outputs trends within data to assist in decision making.,Acquisition and/or Development,Neither,1/1/2024,1/1/2024,,,Developed with contracting resources.,ITSS Contracts,No,,,,,,No,Yes,,"The dataset is composed of Remedy data, containing inventory data of all of assets at DISC: hardware, software, incident tickets, and change tickets. Data contains numerical, categorical, text, and date data types.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
File Rename Automation,Department of Agriculture,USDA,FSA: Farm Service Agency,Mission-Enabling,,None of the above.,The purpose of this tool is to rename thousands of documents converted from physical to digital records that were given a generic file name. This tool can grab text from page 1 of each document and apply a correct file rename instead of employees having to spend hours manually renaming documents.,The model outputs renamed files.,Implementation and Assessment,Neither,11/6/2023,11/6/2023,,,Developed in-house.,,No,,,No,,No,No,Yes,,The data is created from agency records and were used to train Microsoft Power Automate to extract data from records and use in the file renaming process.,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,No,"Yes – agency has access to source code, but it is not public.",,No,,6-12 months,Yes,,No,,Other,Sometimes,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Rapid Drafting of ARS Research Summaries,Department of Agriculture,USDA,ARS: Agricultural Research Service,Mission-Enabling,,None of the above.,"The purpose of this tool is to summarize ongoing research from internal Agricultural Research Service (ARS) documents to allow program staff to quickly create accurate and timely summary documents, such as briefing papers, talking points for leadership, and speeches. This will give staff more time for other duties, and leadership will be able to confidently answer questions, justify budget requests, and ensure that our research is innovative and relevant.",The tool outputs talking points and short briefing papers.,Initiated,Neither,3/18/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
DS Hub Geo-metadata generation,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Government Services (includes Benefits and Service Delivery),,None of the above.,"The purpose of this AI use case is to generate metadata for Natural Resources Conservation Service (NRCS) datasets, ensuring consistency, accessibility, and compliance through generative AI. Expected benefits include increased data accessibility, reduced manual workload, minimized errors, better dataset understanding, and fast data retrieval for stakeholders.","The model outputs accurate, consistent, and compliant metadata appropriate for the existing geospatial data that it analyzed.",Initiated,Neither,9/20/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Dynamic Soils Hub ,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Science & Space,,None of the above.,"The Dynamic Soils Hub (DS Hub) under the Natural Resources Conservation Service (NRCS) is a tool designed to help both government workers and the public understand and analyze soil information. The DS Hub links different soil and conservation databases, making it easier to evaluate the environmental benefits of conservation programs by accessing previously separate data and models. This enhances the USDA’s ability to study and report on how soil properties change with conservation efforts over time.",The system outputs the class of soil based on the supplied soil information.,Implementation and Assessment,Neither,11/11/2020,11/11/2020,,,Developed with contracting resources.,,No,,,No,,No,No,Yes,,,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,No,"Yes – agency has access to source code, but it is not public.",,Yes,Dynamic Soils Hub ,6-12 months,Yes,,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Cover Crop Mapping,Department of Agriculture,USDA,RMA: Risk Management Agency,Law & Justice,,None of the above.,"This project aims to measure the use of cover crops on farms in the U.S. Midwest by creating yearly maps showing cover crops in the fall and spring. These maps are made using satellite images and models of plant growth. This data helps the agency independently check and track how many farmers are using cover crops, reducing the need for on-site visits to determine if cover crops are present on a field.","The output is a state-level map of detected cover crops by year, classified by planting date (fall, spring).",Acquisition and/or Development,"Rights-Impacting
",9/2/2022,9/2/2022,,,Developed with both contracting and in-house resources.,This work is supported under a Research Support Agreement with the University of Illinois (RMA22CPT0012747),No,,,,,,No,Yes,,The data is created from satellite imagery that uses crop insurance cover crop subsidy data as an independent data validation source. Data is not publicly available.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,No,,No,,Other,N/A,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,Planned or in-progress.,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ","The current key risks for the Cover Crop detection are Type I and Type II errors.  For this particular use case, a False Positive (Type I error) would be where cover crop was detected by the model, when in fact none was planted by the producer and False Negatives (Type II errors) where cover crop was planted and emerged, but the model did not detect cover crop.  Model results will not be used without independent review before a potential compliance action takes place.",Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,No,No analysis specific to this use case has been conducted as the model is focused on the detection of a particular land use-land cover class.,Direct user testing,,Yes,,"No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",
Planting Date Detection,Department of Agriculture,USDA,RMA: Risk Management Agency,Law & Justice,,None of the above.,"This project aims to find out the planting dates for corn, soybean, and winter wheat on farms in the U.S. Midwest. Maps containing planting dates are made using satellite images and models of plant growth. This data helps the agency independently check and confirm the planting dates reported by farmers to ensure the integrity of their programs, reducing the need for on-site visits to determine when a field was planted.","The output is an annual map of planting dates for corn, soybean, and winter wheat for crop years 2016-2023.",Acquisition and/or Development,"Rights-Impacting
",9/7/2022,9/1/2023,,,Developed with both contracting and in-house resources.,This work was developed under a Research Support Agreement with the University of Illinois (RMA22CPT0012747),No,,,,,,No,Yes,,The data is created from satellite imagery that uses crop insurance unit-level planting dates at the crop/type/practice level as an independent data validation source. Data is not publicly available.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,,,,,,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,Planned or in-progress.,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ","The current key risks for the planting date model results are Type I and Type II errors.  For this particular use case, a False Positive (Type I error) would be where the planting date detected by the model was outside the margin of error, when in fact the planting date occurred within the margin of error and False Negatives (Type II errors) where the planting date detected by the model was inside the margin of error, when in fact the field was planted either earlier or later.  Model results will not be used without independent review before a potential compliance action takes place. The model produces a crop-field specific observation (planting date) and is not tied to a demographic group.",Planned or in-progress,"Automated and Regularly Scheduled Updates: Some aspects of the plan to monitor the AI system post-deployment are automated including re-training of models after detecting drift; however, data science teams are still significantly involved in the monitoring and re-deployment process.",No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,Yes,The model produces a crop-field specific observation (planting date) and is not tied to a demographic group.,Direct user testing,,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.",Models are currently in development & broader plans about the use of the results are happening internally.,"No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",
Acreage and Crop Type Validation,Department of Agriculture,USDA,RMA: Risk Management Agency,Law & Justice,,None of the above.,"This project uses satellite images and plant growth models to check if the reported sizes of farm fields and the types of crops grown match what is actually seen on the ground in the U.S. Midwest. This data helps the agency independently verify the accuracy of reported field sizes and crop types, supporting efforts to ensure the integrity of their programs.","The output is a validation of reported acreage and validation of reported crop type for corn, soybean, and winter wheat on farm fields.",Acquisition and/or Development,"Rights-Impacting
",9/1/2022,9/1/2022,,,Developed with both contracting and in-house resources.,This work was developed under a Research Support Agreement with the University of Illinois (RMA22CPT0012747),No,,,,,,No,Yes,,"The data is created from satellite imagery that uses planted acreage and crop type (corn, soybean, and winter wheat) features as an independent data validation source. Data is not publicly available.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,,,,,,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,Planned or in-progress.,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ","The current key risks for the planting date model results are Type I and Type II errors.  For this particular use case, a False Positive (Type I error) would be where the acreage detected by the model was outside the margin of error, when in fact the acreage reported was within the margin of error and False Negatives (Type II errors) where the acreage detected by the model was inside the margin of error, when in fact the acreage was outside the margin of error.  Similar logic would be applied to the crop type detection. Model results will not be used without independent review before a potential compliance action takes place. The model produces a field specific observation and is not tied to a demographic group.",Planned or in-progress,"Automated and Regularly Scheduled Updates: Some aspects of the plan to monitor the AI system post-deployment are automated including re-training of models after detecting drift; however, data science teams are still significantly involved in the monitoring and re-deployment process.",No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,Yes,No analysis specific to this use case has been conducted as the model is focused on the detection of a particular land use-land cover class and agronomic variable.,None of the above,,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.",Models are currently in development & broader plans about the use of the results are happening internally.,"No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",
U.S. Poultry Operations and Populations Dataset,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Emergency Management,,None of the above.,"The purpose of this case is to develop a dataset that addresses the problem of not having complete information about where poultry farms are located and how many birds they have. Filling this gap provides detailed data on poultry farm locations and populations, which is essential for planning animal health emergencies and predicting the spread of diseases.",Output is a national-level dataset of domestic poultry operations and estimated populations. ,Operation and Maintenance,Neither,5/15/2016,5/15/2016,6/3/2019,,Developed in-house.,,No,,,No,,No,No,Yes,,The data consists of a subset of farm locations that were validated using manually digitized poultry operations in 41 counties. Data is not publicly available.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,No,No – agency does not have access to source code.,,No,,Less than 6 months,No,,Other,Used existing lab machines and enterprise licenses with Esri(GIS),,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Equine Operations and Populations Dataset for the U.S.,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Emergency Management,,None of the above.,"The purpose of this case is to develop a dataset that addresses the problem of not having complete information about where horse farms are located and how many horses they have. Filling this gap provides detailed data on horse farm locations and populations, which is essential for planning emergencies and predicting the spread of diseases.",Output is a national-level dataset of domestic horse operations and estimated populations.,Acquisition and/or Development,Neither,1/2/2023,9/1/2024,,,Developed with both contracting and in-house resources.,"NADPRP / Farm Bill funds , cooperative agreement with Colorado State University",No,,,,,,No,Yes,,"The data is created from National Agriculture Imagery Program (NAIP) images and the National Agricultural Statistics Service Census of Agriculture, which includes number of farms by size and type, inventory and values for crops and livestock, producer characteristics, and much more. Data is not publicly available.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,No,,Less than 6 months,No,,Other,In process with MRP GIS Coordinator,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
NASS - Naggle 2.0 Automated Editing Tool,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Other,Agricultural Statistics,None of the above.,"The purpose of this model is to determine if an answer on a survey is valid or invalid. If an answer is classified as invalid, a regression model will then suggest a corrected value. This approach will help reduce errors and improve the accuracy of survey forms, saving time and reducing the number of labor hours spent on editing.","The classification model outputs an excel sheet with the survey, person, variable, and whether the variable is valid or invalid. The regression model outputs an excel sheet containing the invalid records, which includes the survey, person, variable, original value, and new predicted value. ",Initiated,Neither,6/3/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
County-level remotely-sensed corn and soybean yield estimation,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Other,Agricultural Statistics,None of the above.,The purpose of this tool is to estimate yearly corn and soybean yields for each county using satellite images. More details can be found in the paper titled “An assessment of pre- and within-season remotely sensed variables for forecasting corn and soybean yields in the United States” (https://doi.org/10.1016/j.rse.2013.10.027). Benefits of providing county-level crop yield statistics allow stakeholders to make more informed planning and decisions.,The model outputs county-level crop yield estimates for corn and soybeans in the amount of bushels per acre.,Operation and Maintenance,Neither,1/1/2007,1/1/2009,1/1/2014,,Developed in-house.,,No,,,No,,No,No,Yes,,Historical National Agricultural Statistics Service county-level crop yields are used as the dataset. The foundation of the data is images from NASA Moderate Resolution Imaging Spectroradiometer (MODIS) satellites.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,No,"Yes – agency has access to source code, but it is not public.",,No,,More than 12 months,Yes,,No,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
NASSportal Intranet Bot,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Mission-Enabling,,Searching for information using AI.,This model will assist National Agricultural Statistics Service (NASS) staff in finding answers to questions on how to administer programs. This will decrease labor hours and increase efficiency of NASS staff in program administration.,The chatbot will provide text outputs.,Initiated,Neither,7/1/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
XyloTron/XyloPhone Wood Identification System,Department of Agriculture,USDA,FS: Forest Service,Law & Justice,,None of the above.,The purpose of these tools is to identify different types of wood based on their cross-section. These tools will help industries follow laws and support law enforcement in meeting national (e.g. Lacey Act) and international (e.g. CITES) regulations.,The tools will output a prediction of the type wood.,Implementation and Assessment,Neither,1/1/2016,1/1/2016,,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data contains images of the cross-section of polished wood surfaces. As of July 2024, there are 139,639 images of 10,888 wood specimens.","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,No,,No,,,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Incident Invoice Document Understanding,Department of Agriculture,USDA,FS: Forest Service,Mission-Enabling,,None of the above.,The purpose of this tool is to analyze incident invoices and return the values that need to be entered into a database. This new approach leads to faster invoice processing and reduces data entry mistakes for more accurate data.,The tool outputs an Excel document containing required values identified from incident invoices.,Acquisition and/or Development,Neither,1/21/2021,1/26/2021,,,Developed with contracting resources.,12314419F0612 and another USDA DISC contract that I don't have access to,No,,,,,,No,Yes,,"The dataset is created with PDF files of OF-286 documents, which are paid invoices of varying quality and structure.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,Yes,UiPath,More than 12 months,Other,We are working closely with DISC to build the necessary infrastructure. It has been a moving target.,No,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Forest disease detection and screening,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,"The purpose of this project is to improve tree disease diagnosis and screening, thereby facilitating ongoing efforts within and outside the Forest Service to manage diseases of forest trees. ","The model will output a prediction indicating whether a tree is diseased or not, and if a tree is resistant or susceptible to a disease.",Acquisition and/or Development,Neither,8/3/2020,8/3/2020,,,Developed in-house.,,No,,,,,,No,Yes,,"Data has and is currently being collected using commercially available and custom sensors and images from trees in natural forest landscape, trees in planted settings, and trees that are being screened for disease resistance in controlled environments. Data is collected for both model calibration and validation. ","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,More than 12 months,No,,Other,Use government furnished equipment,,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Use of LLMs for data extraction,Department of Agriculture,USDA,FS: Forest Service,Mission-Enabling,,None of the above.,"The purpose of this model is to quickly gather information from scientific papers to track plant diseases. The practical benefit is that using this method would save time compared to manually collecting the information, which can be slow and error-prone when done for a long time.","The model outputs a table of requested data variables (e.g., country, pathogen name, host name, etc.).",Initiated,Neither,10/1/2023,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
IPWG Application Survey Analysis,Department of Agriculture,USDA,FS: Forest Service,Mission-Enabling,,None of the above.,"The purpose of this tool is to analyze over 5,000 responses from an internal employee survey on IT applications, then give a summary of the employee feedback regarding each IT application. This decreases the time required to go through each response manually, helping the team make informed investment decisions more quickly.","The model outputs a text summarization for each IT application in the survey data, and potentially includes text summaries of responses and sentiment analysis. The project will also produce a dashboard that allows users to see similar attributes at the agency, office, application, and individual response level.",Acquisition and/or Development,Neither,10/3/2024,10/3/2024,,,Developed in-house.,,No,,,,,,No,Yes,,"The data has been collected from a Microsoft Forms survey sent to Forest Service employees and downloaded into a CSV (comma-separated values) file. The survey responses are not anonymous and contain personnel information such as region, office, and job title. There are approximately 5000 responses about hundreds of applications. The data is comprised of approximately 54 attributes, with a mix of numerical ratings, categories, and free text comments. The data is restricted and encrypted due to personnel information. ","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,Yes,"Excel, Python, Google Cloud Platform ",Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Fire Resilent Landscapes,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The goal of this tool is to quantify the cost of forest treatments. Benefits include providing the ability to accurately map treatment costs for users to make more informed decisions.,The tool outputs predictions in the form of raster surfaces/maps.,Implementation and Assessment,Neither,8/1/2021,8/1/2021,,,Developed in-house.,,No,,,Yes,,No,No,Yes,,No agency-owned data used in this project.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,Yes – source code is publicly available.,,No,,Less than 6 months,No,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
PC Rasterize,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this tool is to be able to process point cloud data more efficiently. This will reduce costs associated with processing point cloud data.,The tool outputs point clouds and raster surfaces/maps.,Implementation and Assessment,Neither,8/1/2024,8/1/2024,,,Developed in-house.,,No,,,No,,No,No,Yes,,No agency-owned data used in this project.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,Yes – source code is publicly available.,,No,,Less than 6 months,No,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Spread and Balance Sample Design,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this tool is to produce samples that are well spread and balanced. This sample design will reduce the quantity of samples needed and further reduce costs associated with collecting field data.,The tool outputs data frames and geospatial-data-frames.,Implementation and Assessment,Neither,5/1/2024,5/1/2024,,,Developed in-house.,,No,,,Yes,,No,No,Yes,,No agency-owned data used in this project.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,Yes – source code is publicly available.,,No,,Less than 6 months,No,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
"Regression, Classification, Clustering with Hilbert Curves",Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,"The purpose of this tool is to perform better regression, classification, and clustering. This will create a new and better ways to produce various estimates, reducing cost and error.  ",The tools will output Data frame and Raster Surfaces/maps. ,Implementation and Assessment,Neither,6/1/2024,6/1/2024,,,Developed in-house.,,No,,,No,,No,No,Yes,,No agency-owned data used in this project.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,Yes – source code is publicly available.,,No,,Less than 6 months,No,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
"The Big Data, Mapping, and Analytics Platform (BIGMAP) Project",Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this project is to use geospatial predictions from Forest Inventory and Analysis samples to make more accurate estimates of different forest characteristics. Greater precision in estimates leads to more informed decisions about the forest resources in the US.,The model outputs predictions in the form of raster maps.,Operation and Maintenance,Neither,1/1/2019,1/7/2019,7/5/2021,,Developed with both contracting and in-house resources.,Esri FS GeoPlatform,No,,,Yes,The methods used are all documented in previously published peer-reviewed articles. Results are validated using data from the Forest Inventory and Analysis program and a peer-reviewed comparative assessment methodology.,Yes,No,Yes,,"Data from the Forest Inventory and Analysis program and the Forest Inventory and Analysis Database were used to finetune and validate the models used. While the data are publicly available, the actual coordinates of the plot locations used are not, in order to protect the confidentiality of the land owner.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Esri Managed Cloud Services; Amazon Web Services,More than 12 months,Yes,,Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
